,CASE_STATUS,DECISION_DATE,VISA_CLASS,JOB_TITLE,FULL_TIME_POSITION,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,PREVAILING_WAGE,PW_UNIT_OF_PAY,PW_WAGE_LEVEL,LOCATION,YEAR
76,CERTIFIED,2019-02-05,H-1B,"DATA SCIENTIST, ANALYTICS",Y,"DOORDASH, INC.",SAN FRANCISCO,CA,94103,96075.0,Year,II,"SAN FRANCISCO, CA",2019
77,CERTIFIED,2019-02-18,H-1B,DATA SCIENTIST,Y,"SQUARE, INC.",SAN FRANCISCO,CA,94103,129605.0,Year,III,"SAN FRANCISCO, CA",2019
78,CERTIFIED,2019-02-19,H-1B,SENIOR DATA ENGINEER,Y,OMADA HEALTH INC.,SAN FRANCISCO,CA,94111,163134.0,Year,IV,"SAN FRANCISCO, CA",2019
79,CERTIFIED,2019-02-19,H-1B,DATA SCIENTIST,Y,NEUTRON HOLDINGS INC.,SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
80,CERTIFIED,2019-02-20,H-1B,DATA ENGINEER,Y,"EXODUSPOINT CAPITAL MANAGEMENT, LP",NEW YORK,NY,10022,114317.0,Year,II,"NEW YORK, NY",2019
81,CERTIFIED,2019-02-21,H-1B,DATA SCIENTIST (ANALYTICS),Y,OPENDOOR LABS INC.,SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
82,CERTIFIED-WITHDRAWN,2019-02-21,H-1B,DATA SCIENTIST,Y,OPENDOOR LABS INC.,SAN FRANCISCO,CA,94105,163134.0,Year,IV,"SAN FRANCISCO, CA",2019
83,CERTIFIED,2019-02-22,H-1B,BIOMEDICAL DATA SCIENTIST,Y,"MEDAL, INC.",SAN FRANCISCO,CA,94111,129605.0,Year,III,"SAN FRANCISCO, CA",2019
84,CERTIFIED,2019-02-22,H-1B,DATA SCIENTIST,Y,"ANCESTRY.COM OPERATIONS, INC.",SAN FRANCISCO,CA,94107,96075.0,Year,II,"SAN FRANCISCO, CA",2019
85,CERTIFIED,2019-02-26,H-1B,DATA SCIENTIST,Y,"ENTELO, INC.",SAN FRANCISCO,CA,94105,96075.0,Year,II,"SAN FRANCISCO, CA",2019
86,CERTIFIED-WITHDRAWN,2019-02-26,H-1B,DATA SCIENTIST,Y,"FEEDZAI, INC.",NEW YORK,NY,10004,114317.0,Year,II,"NEW YORK, NY",2019
87,CERTIFIED,2019-02-28,H-1B,DATA SCIENTIST,Y,"SQUARE, INC.",SAN FRANCISCO,CA,94103,129605.0,Year,III,"SAN FRANCISCO, CA",2019
88,CERTIFIED,2019-03-01,H-1B,VP/DATA SCIENCE,Y,"DIGITAS, INC.",NEW YORK,NY,10014,114317.0,Year,II,"NEW YORK, NY",2019
89,CERTIFIED,2019-03-01,H-1B,DATA SCIENTIST,Y,"ENTELO, INC.",SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
90,CERTIFIED,2019-03-05,H-1B,DATA SCIENTIST,Y,PROJECT APPLECART LLC,NEW YORK,NY,10018,92394.0,Year,I,"NEW YORK, NY",2019
91,CERTIFIED,2019-03-05,H-1B,DATA SCIENTIST,Y,"MELTWATER NEWS US1, INC.",SAN FRANCISCO,CA,94014,96075.0,Year,II,"SAN FRANCISCO, CA",2019
92,CERTIFIED,2019-03-06,H-1B,DATA SCIENCE R & D ENGINEER,Y,"SLALOM, LLC",SAN FRANCISCO,CA,94111,96075.0,Year,II,"SAN FRANCISCO, CA",2019
93,CERTIFIED,2019-03-09,H-1B,SR. DATA SCIENTIST,Y,AETNA RESOURCES LLC,NEW YORK,NY,10013,114317.0,Year,II,"NEW YORK, NY",2019
94,CERTIFIED,2019-03-09,H-1B,DATA SCIENTIST,Y,"SPOTIFY USA, INC.",NEW YORK,NY,10007,114317.0,Year,II,"NEW YORK, NY",2019
95,CERTIFIED,2019-03-11,H-1B,DATA SCIENTIST,Y,"CHEGG, INC.",SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
96,CERTIFIED,2019-03-11,H-1B,DATA SCIENTIST,Y,"CONVERSION LOGIC, INC.",LOS ANGELES,CA,90025,78562.0,Year,I,"LOS ANGELES, CA",2019
97,CERTIFIED,2019-03-12,H-1B,SENIOR DATA SCIENTIST,Y,"SPOTIFY USA, INC.",NEW YORK,NY,10007,114317.0,Year,II,"NEW YORK, NY",2019
98,CERTIFIED,2019-03-12,H-1B,DATA SCIENTIST,Y,"SPOTIFY USA, INC.",NEW YORK,NY,10007,114317.0,Year,II,"NEW YORK, NY",2019
99,CERTIFIED,2019-03-12,H-1B,"DATA SCIENTIST, PRODUCT",Y,"SPOTIFY USA, INC.",NEW YORK,NY,10007,136219.0,Year,III,"NEW YORK, NY",2019
100,CERTIFIED,2019-03-12,H-1B,STRATEGIC FINANCE DATA ANALYST,Y,"DROPBOX, INC.",SAN FRANCISCO,CA,94107,118456.0,Year,II,"SAN FRANCISCO, CA",2019
101,CERTIFIED,2019-03-13,H-1B,LEAD DATA SCIENTIST,Y,ICUEMOTION LLC,SAN FRANCISCO,CA,94103,129605.0,Year,III,"SAN FRANCISCO, CA",2019
102,CERTIFIED,2019-03-14,H-1B,"ANALYST, DATA SCIENTIST",Y,MASTERCARD INTERNATIONAL INCORPORATED,SAN FRANCISCO,CA,94105,96075.0,Year,II,"SAN FRANCISCO, CA",2019
103,CERTIFIED,2019-03-14,H-1B,DATA SCIENTIST,Y,"AUGMENTED REALITY CONCEPTS, INC.",NEW YORK,NY,10001,92394.0,Year,I,"NEW YORK, NY",2019
104,CERTIFIED,2019-03-15,H-1B,DATA ANALYST,Y,WE WORK MANAGEMENT LLC,NEW YORK,NY,10011,92394.0,Year,I,"NEW YORK, NY",2019
105,CERTIFIED,2019-03-19,H-1B,DATA SCIENTIST,Y,"NARVAR, INC.",SAN FRANCISCO,CA,94105,62546.0,Year,I,"SAN FRANCISCO, CA",2019
106,CERTIFIED,2019-03-19,H-1B,DATA SCIENTIST,Y,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94111,96075.0,Year,II,"SAN FRANCISCO, CA",2019
107,CERTIFIED,2019-03-19,H-1B,DATA SCIENTIST,Y,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94111,129605.0,Year,III,"SAN FRANCISCO, CA",2019
108,CERTIFIED,2019-03-19,H-1B,SENIOR DATA SCIENTIST,Y,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,CA,94111,129605.0,Year,III,"SAN FRANCISCO, CA",2019
109,CERTIFIED,2019-03-19,H-1B,DATA SCIENTIST,Y,"KING STREET CAPITAL MANAGEMENT, L.P.",NEW YORK,NY,10022,158142.0,Year,IV,"NEW YORK, NY",2019
110,CERTIFIED,2019-03-20,H-1B,DATA ENGINEER,Y,WE WORK MANAGEMENT LLC,NEW YORK,NY,10011,92394.0,Year,I,"NEW YORK, NY",2019
111,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
112,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
113,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
114,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,92394.0,Year,I,"NEW YORK, NY",2019
115,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
116,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
117,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
118,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
119,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
120,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
121,CERTIFIED,2019-03-20,H-1B,DATA SCIENTIST,Y,SIMPLEBET INC.,NEW YORK,NY,10119,114317.0,Year,II,"NEW YORK, NY",2019
122,CERTIFIED,2019-03-21,H-1B,"DATA ENGINEER, DEPLOYMENTS",Y,"KOMODO HEALTH, INC.",SAN FRANCISCO,CA,94107,62546.0,Year,I,"SAN FRANCISCO, CA",2019
123,CERTIFIED,2019-03-21,H-1B,DATA SCIENTIST,Y,"GLOBANT, LLC",SAN FRANCISCO,CA,94103,96075.0,Year,II,"SAN FRANCISCO, CA",2019
124,CERTIFIED,2019-03-21,H-1B,DATA ENGINEER II,Y,"7PARK DATA, INC.",NEW YORK,NY,10016,114317.0,Year,II,"NEW YORK, NY",2019
125,CERTIFIED,2019-03-22,H-1B,DATA SCIENTIST,Y,"THE ULTIMATE SOFTWARE GROUP, INC.",SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
126,DENIED,2019-03-25,H-1B,SENIOR RISK DATA ANALYST,Y,CONTEXTLOGIC INC.,SAN FRANCISCO,CA,94104,129605.0,Year,III,"SAN FRANCISCO, CA",2019
127,CERTIFIED,2019-03-22,H-1B,DATA ENGINEER,Y,MANHATTAN ENGINEERING INCORPORATED,SAN FRANCISCO,CA,94108,96075.0,Year,II,"SAN FRANCISCO, CA",2019
128,CERTIFIED,2019-03-25,H-1B,SENIOR DATA ANALYST (15-1199.08),Y,SEASONED LLC,SAN FRANCISCO,CA,94108,129605.0,Year,III,"SAN FRANCISCO, CA",2019
129,CERTIFIED,2019-03-25,H-1B,LEAD DATA SCIENTIST,Y,ICUEMOTION LLC,SAN FRANCISCO,CA,94103,129605.0,Year,III,"SAN FRANCISCO, CA",2019
130,CERTIFIED,2019-03-25,H-1B,DATA ENGINEER,Y,"7PARK DATA, INC.",NEW YORK,NY,10016,92394.0,Year,I,"NEW YORK, NY",2019
131,CERTIFIED,2019-03-26,H-1B,DATA ANALYST,Y,AFTERSHOCK LA STUDIOS INC.,SAN FRANCISCO,CA,94111,62546.0,Year,I,"SAN FRANCISCO, CA",2019
132,CERTIFIED,2019-03-27,H-1B,DATA SCIENTIST,Y,"SPOTIFY USA, INC.",NEW YORK,NY,10007,114317.0,Year,II,"NEW YORK, NY",2019
133,CERTIFIED,2019-03-27,H-1B,APPLIED DATA SCIENTIST,Y,TRANSATLANTIC REINSURANCE COMPANY,NEW YORK,NY,10006,92394.0,Year,I,"NEW YORK, NY",2019
134,CERTIFIED,2019-03-27,H-1B,APPLIED DATA SCIENTIST,Y,TRANSATLANTIC REINSURANCE COMPANY,NEW YORK,NY,10006,92394.0,Year,I,"NEW YORK, NY",2019
135,CERTIFIED,2019-03-27,H-1B,DATA SCIENTIST - MTS,Y,"SALESFORCE.COM, INC.",SAN FRANCISCO,CA,94105,129605.0,Year,III,"SAN FRANCISCO, CA",2019
136,CERTIFIED,2019-03-27,H-1B,"ANALYST, DATA SCIENTIST",Y,MASTERCARD INTERNATIONAL INCORPORATED,SAN FRANCISCO,CA,94105,62546.0,Year,I,"SAN FRANCISCO, CA",2019
