,company_id,company_name,posted_date,remoteflex,locations,category,position,level,content_salary,content_year,content_prog_lang,content_line
0,15000203,Circle,2024-03-29,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Web3",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,15000203,Circle,2024-03-29,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Web3",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,15000203,Circle,2024-03-18,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,15000209,Samsara Inc.,2024-04-08,1,FLEXIBLE / REMOTE,Data and Analytics,Partner Sales Engineer ,senior,,,,
0,15000203,Circle,2024-03-22,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Financial Data",senior,,,,
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,"Manager, Process Excellence - Healthcare & Cost Management Analytics",senior,"['$7M+', 'capital', 'expenditure', 'budget,', 'understand', 'drivers', 'of', 'budget', 'overages,', 'and', 'identify', 'opportunities', 'to', 'pursue', 'when', 'there', 'is', 'budget', 'favorability', 'Jointly', 'manage', 'our', 'operational', 'metrics', 'for', 'success', 'across', 'the', 'areas', 'of', 'team', 'performance,', 'productivity,', 'and', 'colleague', 'engagement', 'and', 'drive', 'strong', 'YoY', 'results', 'Develop', 'and', 'maintain', 'internal', 'communications', 'including', 'our', 'HCM', 'SharePoint', 'site,', 'Teams', 'channel,', 'onboarding', 'materials,', 'and', 'townhall', 'presentations', 'Build', 'and', 'own', 'relationships', 'with', 'our', 'PMO,', 'Talent', '&amp;', 'Culture', 'team,', 'and', 'other', 'critical', 'support', 'partners', 'to', 'collaborate', 'and', 'coordinate', 'cross-functional', 'processes', 'Oversee', 'our', 'end-to-end', 'talent', 'pipeline', 'from', 'overseeing', 'an', 'effective,', 'diverse', 'and', 'inclusive', 'recruitment', 'process', 'to', 'onboarding', 'and', 'retention', 'strategies', 'in', 'partnership', 'with', 'our', 'Talent', 'Acquisition,', 'Immigration', 'Support', 'Team,', 'and', 'HR', 'partners', 'Required', 'Qualifications', '3+', 'years', 'experience', 'in', 'a', 'consulting,', 'operations,', 'or', 'business', 'support', 'setting', 'with', 'exposure', 'to', 'strategic', 'planning,', 'financial', 'analysis', 'and', 'modeling,', 'and', 'project/program', 'management', 'High', 'proficiency', 'in', 'Microsoft', 'Office', 'suite:', 'Excel,', 'PowerPoint,', 'Word,', 'and', 'related', 'productivity', 'plug-ins', '(e.g.,', 'think-cell)', 'Demonstrates', 'strong', 'sense', 'of', 'ownership', 'and', 'accountability', 'Strong', 'communication', 'and', 'stakeholder', 'management', 'skills', 'Preferred', 'Qualifications', '1+', 'years', 'of', 'direct', 'experience', 'in', 'a', 'healthcare', 'setting', '(e.g.,', 'payor,', 'provider)', 'Understanding', 'of', 'analytics-driven', '(AI/ML/GenAI)', 'business', 'solutions', 'Comprehension', 'of', 'the', 'agile', 'software', 'development', 'lifecycle', 'and/or', 'product', 'management', 'ideologies', 'and', 'frameworks', 'Education', ""Bachelor's"", 'degree', 'or', 'equivalent', 'work', 'experience', 'in', 'Economics,', 'Finance,', 'Accounting,', 'Business', 'administration,', 'Supply', 'Chain', 'management,', 'or', 'related', 'discipline', 'Pay', 'Range', 'The', 'typical', 'pay', 'range', 'for', 'this', 'role', 'is:', '$69,300.00', '-', '$152,600.00']",3+,,"['partners Required Qualifications 3+ years experience in a consulting, operations, or', 'Qualifications 1+ years of direct experience in a healthcare setting (e.g.,', ""Bachelor's degree or equivalent work experience in Economics, Finance, Accounting, Business"", 'a variety of factors including experience, education, geography and other relevant']"
0,15000209,Samsara Inc.,2024-04-12,1,FLEXIBLE / REMOTE,Data and Analytics,Data Analyst - Customer Success Operations,mid,,,,
0,61,Uber,2024-04-13,0,"NEW YORK, NY",Data and Analytics,"Senior Sales Operations Associate, Uber for Business",senior,"['USD$124,000', 'per', 'year', '-', 'USD$137,000']",4+,"['Tableau', 'SQL']","['Qualifications</strong> 4+ years of work experience with 3 years of relevant', 'with 3 years of relevant experience in Sales Operations, preferably in', 'Qualifications</strong> 5+ years of work experience with 4 years of relevant', 'with 4 years of relevant experience in Sales Operations, preferably in']"
0,15000209,Samsara Inc.,2024-04-08,1,FLEXIBLE / REMOTE,Data and Analytics,Senior Machine Learning Engineer  -ML Platform,senior,,,,
0,15000203,Circle,2024-04-02,1,FLEXIBLE / REMOTE,Data and Analytics,"Director, Sanctions Compliance",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,Senior Data Science - Provider Engagement,senior,"['$106,605.00', '-', '$206,000.00']",3+,"['SQL', 'Python']","['that focuses on improving provider experience, efficiency, and automation while driving', '3+ years of relevant analytics experience Experience in programming using Python', ""Master's degree or equivalent work experience in Mathematics, Statistics, Computer Science,"", 'a variety of factors including experience, education, geography and other relevant']"
0,15000199,Riot Games,2024-04-12,0,"LOS ANGELES, CA",Data and Analytics,Insights Analyst III,senior,,,,['fosters a player and workplace experience that values teamwork embodied by']
0,15000205,Celonis,2024-04-02,0,"NEW YORK, NY",Data and Analytics,Senior Software Engineer - Machine Learning,senior,,,,"['cash impact, radically improve customer experience and reduce carbon emissions. Its']"
0,15000203,Circle,2024-03-18,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,15000187,Sotheby's,2024-02-13,0,"NEW YORK, NY",Data and Analytics,Property Collections Coordinator,mid,"$50,000",,,"['factors including relevant skills, training, experience, education, and, where applicable, licensure']"
0,15000209,Samsara Inc.,2024-04-08,1,FLEXIBLE / REMOTE,Data and Analytics,Partner Sales Engineer,senior,,,,
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,"Senior Data Scientist, Commercial Growth Marketing",senior,"['$106,605.00', '-', '$206,000.00']",the,"['Tableau', 'Python']","['3+ years of analytically driven experience in B2B and/or B2C marketing', 'years of recent hands-on modeling experience using statistical (frequentist and/or Bayesian),', 'segmentation. 3+ years of programming experience with Python or R, SQL,', 'plus. Strong understanding and practical experience in various types of AI,', 'combination of formal education and experience. Pay Range The typical pay', 'a variety of factors including experience, education, geography and other relevant']"
0,15000203,Circle,2024-03-18,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,11913,Siemens,2023-05-12,1,"FLEXIBLE / REMOTE,FĂGĂRAȘ, ROMANIA",Data and Analytics,Solution Architect (XHQ),senior,,One,['SQL'],"['Use the customer solution development experience to assist in solution testing', 'Engineering or foreign equivalent. Solid experience on on-prem, hybrid and cloud', 'cloud solution deployment Proven strong experience in SQL queries for MS', 'data routing and firewalls Hands-on experiences on using Web Service, RESTful', 'PHD, and AspenTech IP21, including experience interfacing to historians using SDK-level', 'Modeling, with some demonstrated hands-on experience. Prior exposure to Data Visualization', 'One year of applications programming experience in Java, JavaScript, VB.NET and/or', 'web applications in (SaaS). Development experience with relational databases and SQL,', 'Server and PostgreSQL Hands on experience with Siemens XHQ, ideally in', 'is a plus. Project Management experience is a plus Knowledge of']"
0,15000203,Circle,2024-03-29,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Web3",senior,,,,
0,15000209,Samsara Inc.,2024-04-08,0,"SAN FRANCISCO, CA",Data and Analytics,Machine Learning Intern (PhD),internship,,,,
0,15000188,Flexport,2024-04-02,0,"BELLEVUE, WA,LOS ANGELES, CA,SAN FRANCISCO, CA",Data and Analytics,Senior Paralegal and Legal Operations Associate,senior,,,,"['from<a href=""https://www.flexport.com/careers/diversity-and-inclusion""> diverse backgrounds and experiences</a> together with our industry veterans']"
0,15000203,Circle,2024-03-22,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,
0,61,Uber,2024-04-11,0,"SAN FRANCISCO, CA",Data and Analytics,"Director, Data Science - Marketplace",senior,"['USD$257,000', 'per', 'year', '-', 'USD$285,500']",10,['Python'],"['Minimum of 10 years of experience with 5 years of people', '5 years of people management experience <strong>Bonus Points If</strong> Experience in']"
0,15000203,Circle,2024-04-02,1,FLEXIBLE / REMOTE,Data and Analytics,"Director, Sanctions Compliance",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,61,Uber,2024-04-11,0,"NEW YORK, NY,SAN FRANCISCO, CA",Data and Analytics,"Investment Strategy Manager II, Performance Marketing",senior,"['USD$152,000', 'per', 'year', '-', 'USD$169,000', 'per', 'year.', 'For', 'San', 'Francisco,', 'CA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$152,000', 'per', 'year', '-', 'USD$169,000']",7+,,"['highly self-directed and has strong experience in investment and business strategy', '<strong>Basic Qualifications</strong> 7+ years of experience in finance or management consulting', 'variety of audiences. Performance Marketing experience. For New York, NY-based roles:']"
0,61,Uber,2024-04-11,0,"SAN FRANCISCO, CA,SUNNYVALE, CA",Data and Analytics,"Tech Lead Manager, Data Engineering - Growth & Marketing",senior,"['$10M', 'in', 'hardware', 'costs', 'at', 'Uber.', '<strong>Qualifications</strong>', 'Manage', 'a', 'Team', 'Strong', 'SQL', 'skills', 'Strong', 'in', 'Data', 'Warehousing', 'and', 'Data', 'Modelling', 'concepts', 'Hands-on', 'experience', 'in', 'Hadoop', 'tech', 'stack:', 'HDFS,', 'Hive,', 'Oozie,', 'Airflow,', 'MapReduce,', 'Spark.', 'Programming', 'languages', '-', 'Python,', 'Java,', 'Scala,', 'etc.', 'Experience', 'in', 'building', 'ETL', 'Data', 'Pipelines', '----', 'Basic', 'Qualifications', '---', '10+', 'years', 'of', 'total', 'technical', 'data/software', 'engineering', 'experience', 'in', 'one', 'or', 'more', 'of', 'the', 'following', 'areas:', 'Programming', 'and', 'scripting', 'language', '(e.g.', 'Python,', 'SQL,', 'Java/Scala)', 'Big', 'data', 'frameworks', '(e.g.', 'Spark,', 'Flink,', 'MR,', 'Presto),', 'data', 'modelling,', 'and', 'writing', 'ETLs', 'Designing', 'end-to-end', 'data', 'solutions', 'and', 'architecture', 'Workflow', 'Scheduling', 'using', 'Airflow', 'or', 'oozie', '----', 'What', 'the', 'Candidate', 'Will', 'Do', '---', 'Design', '&amp;', 'Architecture:', 'Partners', 'with', 'stakeholders', 'to', 'understand', 'customer', 'and/or', 'business', 'requirements.', 'Translates', 'requirements', 'into', 'effective', 'design', 'documents', 'to', 'address', 'clearly', 'defined', 'business', 'or', 'technical', 'problems.', 'Provides', 'expertise', 'to', 'make', 'trade-off', 'decisions', 'between', 'short-term', 'results', 'and', 'long-term', 'goals.', 'Creates', 'and', 'promotes', 'efficiency', 'and', 'speed', 'by', 'leveraging', 'and', 'improving', 'existing', 'solutions,', 'developing', 'extensible', 'solutions,', 'and', 'reconciling', 'gaps', 'and', 'redundancy', 'within', 'the', 'team.', 'Identifies', 'opportunities', 'and', 'advocates', 'for', 'better', 'performance', 'and', 'efficiency', 'of', 'the', ""team's"", 'software', 'and', 'systems.', 'Manages', 'and', 'executes', 'ambiguous', 'technical', 'projects', 'and', 'solutions', 'with', 'drive', 'and', 'an', 'appropriate', 'sense', 'of', 'urgency', 'to', 'deliver', 'technical', 'and', 'business', 'impact', 'Plans', 'organizes', 'and', 'manages', 'tasks,', 'resources,', 'and', 'timelines', 'to', 'accomplish', 'work', 'accurately', 'and', 'on', 'time.', 'Defines', 'and', 'diagnoses', 'ambiguous', 'problems', 'and', 'determines', 'an', 'appropriate', 'solution,', 'recommendation,', 'or', 'decision', 'while', 'logically', 'evaluating', 'alternatives', 'and', 'factors', '(e.g.,', 'resources,', 'costs,', 'tradeoffs).', 'Anticipates', 'roadblocks', 'and', 'develops', 'strategies', 'to', 'mitigate', 'risk.', 'Listens', 'to', 'and', 'supports', 'ideas/opinions', 'of', 'others', 'from', 'diverse', 'backgrounds', 'and', 'experiences.', 'Proactively', 'builds', 'and', 'maintains', 'collaborative', 'and', 'trusting', 'relationships', 'with', 'multiple', 'stakeholders', '.', 'Recognizes', 'conflict', 'or', 'disputes', 'among', 'people', 'and', 'situations;', 'mediates', 'open', 'communication', 'of', 'different', 'points', 'of', 'view', 'to', 'resolve', 'conflicts', 'and', 'meet', 'shared', 'goals.', 'Provides', 'constructive', 'and', 'actionable', 'feedback', 'to', 'others', 'to', 'help', 'improve', 'the', 'entire', 'team.', 'Enhances', 'the', 'effective', 'functioning', 'of', 'Uber', 'by', 'participating', 'in', 'and', 'promoting', 'activities', 'and', 'efforts', 'that', 'contribute', 'to', 'the', 'engineering', 'and/or', 'people', 'culture', 'in', 'the', 'team', 'such', 'as', 'mentoring', 'junior', 'engineers.', 'Represents', 'the', 'team', 'to', 'the', 'broader', 'community', 'through', 'participation', 'in', 'internally-', 'and/or', 'externally-focused', 'engagements', '(e.g.,', 'tech', 'talks,', 'open', 'source,', 'conferences,', 'team', 'building).', 'For', 'San', 'Francisco,', 'CA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$252,000', 'per', 'year', '-', 'USD$280,000', 'per', 'year.', 'For', 'Sunnyvale,', 'CA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$252,000', 'per', 'year', '-', 'USD$280,000']",few,['SQL'],"['and Data Modelling concepts Hands-on experience in Hadoop tech stack: HDFS,', 'of total technical data/software engineering experience in one or more of', 'others from diverse backgrounds and experiences. Proactively builds and maintains collaborative']"
0,12145,Bank of America,2024-03-28,0,"BOSTON, MA,BREWER, ME,CHARLOTTE, NC,CHICAGO, IL,JACKSONVILLE, FL,KENNESAW, GA,MYRTLE BEACH, SC,NEW YORK, NY,PHOENIX, AZ,PLANO, TX,RICHMOND, VA",Data and Analytics,Consumer Product Strategy Analyst III - Specialty Fraud Reporting/Analysis,senior,,3+,"['Tableau', 'SQL']","['broad range of backgrounds and experiences and invest heavily in our', 'negative impacts to the customer experience. Key responsibilities include utilizing a', 'Qualifications: 3+ years of fraud experience and/or 3+ years of analytical', 'and/or 3+ years of analytical experience 5+ years of SQL 5+', 'SQL 5+ years of ETL experience Strong analytical and critical thinking']"
0,15000203,Circle,2024-03-18,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,11913,Siemens,2023-05-31,0,"SAN FRANCISCO, CA",Data and Analytics,Hydraulics Test Technician Specialist- Rolling Stock- San Francisco,mid,,3,,"['3 years of hands-on working experience with hydraulic systems (i.e. hydraulic', 'Office products (including Excel/Word/PowerPoint) Previous experience with Salesforce, SAP, or other']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,Senior Data Scientist - Clinical Analytics,senior,"['$106,605.00', '-', '$206,000.00']",3+,"['SQL', 'Python']","['Qualifications 3+ years of hands-on experience in data analysis and machine', 'AI, LLM, and NLP Prior experience using and managing projects leveraging', 'a variety of factors including experience, education, geography and other relevant']"
0,15000203,Circle,2024-03-29,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Web3",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,11799,Cisco Meraki,2023-06-27,1,"ANNAPOLIS JUNCTION, MD,FLEXIBLE / REMOTE",Data and Analytics,Senior AI Engineer - 1403502,senior,,10+,['Python'],"['create the latest AI-powered user experiences on various platforms, work alongside', 'engineer with 10+ years engineering experience with a consistent track record', '• Understanding and hands on experience in Large Language Models, Natural', 'but not limited to skillset, experience, and relevant education, certifications, or']"
0,15000203,Circle,2024-03-22,1,FLEXIBLE / REMOTE,Data and Analytics,"Senior Data Engineer, Blockchain",senior,,,,
0,15000205,Celonis,2024-03-14,0,"NEW YORK, NY",Data and Analytics,Software Engineer - Machine Learning,mid,,,,"['cash impact, radically improve customer experience and reduce carbon emissions. Its']"
0,15000205,Celonis,2024-03-14,0,"NEW YORK, NY",Data and Analytics,"Senior Counsel, Product & Intellectual Property",senior,,,,"['cash impact, radically improve customer experience and reduce carbon emissions. Its']"
0,11913,Siemens,2023-05-31,1,"FLEXIBLE / REMOTE,UNITED STATES",Data and Analytics,PCB Electronic Data Management (EDM) & PLM Consultant (Remote),senior,,5,,"['the candidate must have strong experience in design and data management,', 'Minimum of 5 years of experience in a similar role. Strong', 'asadditional factors, including job-related skills, experience, and relevanteducation/training.Siemens offers a variety']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,Data Scientist - OTCHS,mid,"['$82,915.00', '-', '$175,100.00']",2+,"['SQL', 'Spark', 'Python']","['plan benefits with a consistent experience. The Over the Counter Health', 'successful candidate will have extensive experience applying analytics to drive product', 'outcome and impact • Extensive experience with SQL, Python, Spark &amp;', 'degree and 2+ years work experience or Graduate degree and 1+', 'and 1+ years of work experience 1-2+ years of experience utilizing', 'work experience 1-2+ years of experience utilizing Python and SQL Experience', 'a variety of factors including experience, education, geography and other relevant']"
0,11799,Cisco Meraki,2023-06-27,1,"FLEXIBLE / REMOTE,SAN JOSE, CA",Data and Analytics,AI Engineer Developer - 1403500,senior,,5+,['Python'],"['create the latest AI-powered user experiences on various platforms, work alongside', 'similar languages. • 5+ years experience in developing and deploying AI', '• Understanding and hands on experience in Large Language Models, Natural', 'but not limited to skillset, experience, and relevant education, certifications, or']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,Data Scientist - Clinical Analytics,mid,"['$82,915.00', '-', '$175,100.00']",1+,"['SQL', 'Python']","['Qualifications 1+ year(s) of hands-on experience in data analysis, machine learning,', 'concepts Preferred Qualifications : Prior experience using and managing projects leveraging', ""Bachelor's degree or equivalent work experience in Mathematics, Statistics, Computer Science,"", 'a variety of factors including experience, education, geography and other relevant']"
0,15000203,Circle,2024-04-02,1,FLEXIBLE / REMOTE,Data and Analytics,"Director, Sanctions Compliance",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,15000205,Celonis,2024-03-14,0,"NEW YORK, NY",Data and Analytics,Software Engineer - Machine Learning,mid,,,,"['cash impact, radically improve customer experience and reduce carbon emissions. Its']"
0,15000203,Circle,2024-04-02,1,FLEXIBLE / REMOTE,Data and Analytics,"Director, Sanctions Compliance",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,"Principal Data Scientist, Commercial Growth Marketing",senior,"['$144,200.00', '-', '$288,400.00']",7+,"['Tableau', 'Python']","['7+ years of analytically driven experience in B2B and/or B2C marketing', 'years of recent hands-on modeling experience using statistical (frequentist and/or Bayesian),', 'segmentation. 7+ years of programming experience with Python or R, SQL,', 'visualization tools). 3+ years of experience in automated dashboarding (Shiny, D3),', 'Qualifications: 10 + years of experience building a variety of models', 'context Strong understanding and practical experience in various types of AI,', 'combination of formal education and experience. Pay Range The typical pay', 'a variety of factors including experience, education, geography and other relevant']"
0,15000205,Celonis,2024-03-14,1,FLEXIBLE / REMOTE,Data and Analytics,Senior Cloud Database Administrator,senior,,6,['Azure'],"['cash impact, radically improve customer experience and reduce carbon emissions. Its']"
0,15000187,Sotheby's,2024-04-08,0,"NEW YORK, NY",Data and Analytics,Digital Analytics Senior Manager,senior,"$100,000-$1400,000.",,,"['factors including relevant skills, training, experience, education, and, where applicable, licensure']"
0,15000205,Celonis,2024-03-14,1,FLEXIBLE / REMOTE,Data and Analytics,Ecosystem AI Lead,mid,,,,"['cash impact, radically improve customer experience and reduce carbon emissions. Its']"
0,61,Uber,2024-04-05,0,"NEW YORK, NY,SAN FRANCISCO, CA",Data and Analytics,"Strategic Operations Manager, US&C Delivery - Global & Enterprise Ops",senior,"['USD$101,000', 'per', 'year', '-', 'USD$112,500', 'per', 'year.', 'For', 'San', 'Francisco,', 'CA-based', 'roles:', 'The', 'base', 'salary', 'range', 'for', 'this', 'role', 'is', 'USD$101,000', 'per', 'year', '-', 'USD$112,500']",2+,['SQL'],"['2+ years of professional work experience <strong>Preferred Qualifications</strong> Exceptional Excel and', '3+ years of professional work experience in a related field, such']"
0,12145,Bank of America,2024-03-28,0,"BOSTON, MA,BREWER, ME,CHARLOTTE, NC,CHICAGO, IL,HUNT VALLEY, MD,JACKSONVILLE, FL,KENNESAW, GA,NEW YORK, NY,PHOENIX, AZ,PLANO, TX,RICHMOND, VA",Data and Analytics,Consumer Product Strategy Manager II -  Deposit Fraud Strategies Lead,senior,,8,['SQL'],"['broad range of backgrounds and experiences and invest heavily in our', 'Protection is looking for an experienced analytical leader to manage the', 'learning tools to maximize client experience while managing fraud most effectively.', 'At least 8 year of experience in analysis. • 5+ years', 'analysis. • 5+ years of experience managing analytical fraud teams. •', 'teams. • 5+ years of experience in SAS or SQL querying.', '• Fraud decision engine management experience highly preferred. • Strong preference', 'preferred. • Strong preference prior experience working in financial services, particularly']"
0,12145,Bank of America,2024-04-12,0,"BOSTON, MA,CHARLOTTE, NC,NEW YORK, NY",Data and Analytics,Audit Manager - CFO Audit - Data Quality,senior,,5+,,"['broad range of backgrounds and experiences and invest heavily in our', 'Risk, Data or other relevant experience Desired Skills: Big 4 background', 'audit or advisory/consulting Prior data experience (i.e. analytics; data mining; automation)', 'analytics; data mining; automation) Prior experience leading projects, managing against deadlines,']"
0,15000203,Circle,2024-04-02,1,FLEXIBLE / REMOTE,Data and Analytics,"Director, Sanctions Compliance",senior,,,,"['but not limited to: relevant experience, skill set, qualifications, and other']"
0,12096,CVS Health,2024-04-12,0,"NEW YORK, NY",Data and Analytics,"Senior Manager, Data Science - Retail Strategic Health Analytics",senior,"['$132,250.00', '-', '$260,000.00']",7-10,,"['Required Qualifications 7-10 years work experience Adept at execution and delivery', 'Bachelors degree or equivalent work experience in Mathematics, Statistics, Computer Science,', 'a variety of factors including experience, education, geography and other relevant']"
0,15000245,Moody's,2024-03-13,0,"SAN FRANCISCO, CA",Data and Analytics,Banking OU Research Intern,internship,,,"['SQL', 'Python']","['quantitative fields. Some financial services experience through previous internships is ideal', 'following: - Academic training or experience using prototyping languages to perform']"
0,12145,Bank of America,2024-04-12,0,"BOSTON, MA,BREWER, ME,CHARLOTTE, NC,CHICAGO, IL,FORT WORTH, TX,NEW YORK, NY,PHOENIX, AZ,PLANO, TX,RICHMOND, VA",Data and Analytics,Fraud Sr. Policy Strategist,senior,,2+,,"['broad range of backgrounds and experiences and invest heavily in our', 'optimize the balance between client experience, risk, and reward Take the', 'product, fraud, risk, or analytic experience Required Qualifications: 2+ years of', '2+ years of Fraud/risk management experience Advanced PowerPoint and Excel skills']"
