,JOB_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_POSTAL_CODE,PW_WAGE_LEVEL,YEAR,Cost of Living Plus Rent Index,ADJUSTED_P_WAGE,ENGINEER_TITLE,EMPLOYER_SIZE,SF,LA
34,SENIOR DATA STRATEGIST,"GREY GLOBAL GROUP, LLC",NEW YORK,10010,3,2019,100.0,80829.0,0,small,0,0
35,BUSINESS INTELLIGENCE DATA ANALYST,HEALTHLINE MEDIA INC,SAN FRANCISCO,94107,2,2019,98.6,78136.9,0,small,1,0
36,"ASSOCIATE DIRECTOR, DATA SCIENCES",PHD MEDIA LLC,NEW YORK,10017,4,2019,100.0,97573.0,0,medium,0,0
37,"MANAGER, DATA & ANALYTICS",TBWA WORLDWIDE INC.,NEW YORK,10022,3,2019,100.0,80829.0,0,large,0,0
38,GROWTH DATA ANALYST,EIGHT SLEEP INC.,NEW YORK,10010,4,2019,100.0,97573.0,0,large,0,0
39,MARKETING DATA STRATEGIST,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,94103,3,2019,98.6,98283.0,0,large,1,0
40,MARKETING DATA OPERATIONS MANAGER,"UBER TECHNOLOGIES, INC.",SAN FRANCISCO,94105,2,2019,98.6,78136.9,0,large,1,0
41,SR. MARKETING DATA ANALYST,"ZENDESK, INC.",SAN FRANCISCO,94103,3,2019,98.6,90014.2,0,large,1,0
42,DATA SCIENTIST,"BIZ2CREDIT, INC",NEW YORK,10018,2,2019,100.0,66352.0,0,medium,0,0
43,DATA ANALYST,"CHINESE COMMUNITY ACCOUNTABLE CARE ORGANIZATION, INC.",NEW YORK,10013,1,2019,100.0,50586.0,0,medium,0,0
44,DATA ANALYST I,"TWITTER, INC.",SAN FRANCISCO,94103,2,2019,98.6,105835.7,0,small,1,0
45,FINANCIAL DATA ANALYST,ULFBERHT LABS CORP,NEW YORK,10004,2,2019,100.0,164507.0,0,medium,0,0
46,"ASSOCIATE, DATA ANALYST",JPMORGAN CHASE & CO.,NEW YORK,10036,2,2019,100.0,106371.0,0,medium,0,0
47,DATA INTELLIGENCE ANALYST (DATA OPERATIONS),"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,94105,1,2019,98.6,74761.7,0,large,1,0
48,"DATA ANALYST, COMPLIANCE & RISK",LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,1,2019,98.6,74761.7,0,small,1,0
49,SENIOR FINANCIAL DATA ANALYST,LENDINGCLUB CORPORATION,SAN FRANCISCO,94105,2,2019,98.6,105835.7,0,small,1,0
50,"ASSOCIATE, DATA SCIENTIST",GREYCROFT LP,NEW YORK,10017,3,2019,100.0,137946.0,0,large,0,0
51,DATA RESEARCH AND ACCELERATION ANALYST,"TWO SIGMA INVESTMENTS, LP",NEW YORK,10013,2,2019,100.0,106371.0,0,large,0,0
52,ASSISTANT VICE PRESIDENT DATA GOVERNANCE,"MOODY'S SHARED SERVICES, INC.",NEW YORK,10007,3,2019,100.0,137946.0,0,large,0,0
53,"VICE PRESIDENT, ASSET MANAGEMENT & FINANCIAL DATA ANALYTICS",TRINGAPPS INC,NEW YORK,10020,3,2019,100.0,137821.0,0,large,0,0
54,"VICE PRESIDENT, ASSET MANAGEMENT & FINANCIAL DATA ANALYTICS",TRINGAPPS INC,NEW YORK,10020,4,2019,100.0,170019.0,0,large,0,0
55,"ASSOCIATE, DATA SCIENCE & MACHINE LEARNING PROGRAM",JPMORGAN CHASE & CO.,NEW YORK,10017,2,2019,100.0,80517.0,0,medium,0,0
56,DATA SCIENTIST ASSISTANT DIRECTOR,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,94105,2,2019,98.6,79234.3,0,large,1,0
57,LEAD FINANCIAL DATA ANALYST,"MOODY'S INVESTORS SERVICE, INC.",NEW YORK,10007,1,2019,100.0,57970.0,0,large,0,0
58,FINANCIAL DATA ANALYST,"MOODY'S INVESTORS SERVICE, INC.",NEW YORK,10007,1,2019,100.0,57970.0,0,large,0,0
59,DATA ANALYST,"EXODUSPOINT CAPITAL MANAGEMENT, LP",NEW YORK,10022,2,2019,100.0,80517.0,0,medium,0,0
60,DATA ANALYST,DV01 INC.,NEW YORK,10010,1,2019,100.0,57970.0,0,small,0,0
61,"BUSINESS INTELLIGENCE ANALYST, DATA INTELLIGENCE & STRATEGT","WISDOMTREE ASSET MANAGEMENT, INC.",NEW YORK,10167,1,2019,100.0,51064.0,0,large,0,0
62,DATA OPERATIONS ANALYST,"MOODY'S ANALYTICS, INC.",SAN FRANCISCO,94105,2,2019,98.6,79234.3,0,large,1,0
63,"ASSISTANT DIRECTOR, DATA INTELLIGENCE ANALYST","MOODY'S ANALYTICS, INC.",SAN FRANCISCO,94105,2,2019,98.6,79234.3,0,large,1,0
64,"NON-OFFICER, BIG DATA BUSINESS ANALYST",UBS FINANCIAL SERVICES INC.,NEW YORK,10019,2,2019,100.0,80517.0,0,large,0,0
65,"MANAGER, DATA SCIENCE","AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",NEW YORK,10285,3,2019,100.0,103043.0,0,large,0,0
66,DATABASE ANALYST III,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NEW YORK,10029,4,2019,100.0,103251.0,0,medium,0,0
67,DATA INTEGRATION DEVELOPER,MOUNT SINAI HOSPITAL,NEW YORK,10017,2,2019,100.0,83408.0,0,large,0,0
68,SENIOR DATA ENGINEER,OMADA HEALTH INC.,SAN FRANCISCO,94111,4,2019,98.6,165450.3,1,large,1,0
69,DELIVERY DATA SCIENTIST,MICROSOFT CORPORATION,NEW YORK,10036,2,2019,100.0,114317.0,0,medium,0,0
70,DATA SCIENTIST,NGINEERED STUDIO LLC,NEW YORK,10014,1,2019,100.0,92394.0,0,small,0,0
71,DATA SCIENTIST,ADOBE INC.,SAN FRANCISCO,94103,3,2019,98.6,131445.2,0,large,1,0
72,DATA SCIENTIST 2,"PAYPAL, INC.",SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,large,1,0
73,SENIOR DATA SCIENTIST,GRAND ROUNDS INC.,SAN FRANCISCO,94107,4,2019,98.6,165450.3,0,medium,1,0
74,DATA SCIENTIST,NEWTONX INC.,NEW YORK,10017,1,2019,100.0,92394.0,0,large,0,0
75,DATA RESEARCH SCIENTIST,"CYBERCUBE ANALYTICS, INC",SAN FRANCISCO,94105,2,2019,98.6,97439.1,0,medium,1,0
76,"DATA SCIENTIST, ANALYTICS","DOORDASH, INC.",SAN FRANCISCO,94103,2,2019,98.6,97439.1,0,small,1,0
77,DATA SCIENTIST,"SQUARE, INC.",SAN FRANCISCO,94103,3,2019,98.6,131445.2,0,medium,1,0
78,SENIOR DATA ENGINEER,OMADA HEALTH INC.,SAN FRANCISCO,94111,4,2019,98.6,165450.3,1,large,1,0
79,DATA SCIENTIST,NEUTRON HOLDINGS INC.,SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,large,1,0
80,DATA ENGINEER,"EXODUSPOINT CAPITAL MANAGEMENT, LP",NEW YORK,10022,2,2019,100.0,114317.0,1,medium,0,0
81,DATA SCIENTIST (ANALYTICS),OPENDOOR LABS INC.,SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,large,1,0
82,DATA SCIENTIST,OPENDOOR LABS INC.,SAN FRANCISCO,94105,4,2019,98.6,165450.3,0,large,1,0
83,BIOMEDICAL DATA SCIENTIST,"MEDAL, INC.",SAN FRANCISCO,94111,3,2019,98.6,131445.2,0,large,1,0
84,DATA SCIENTIST,"ANCESTRY.COM OPERATIONS, INC.",SAN FRANCISCO,94107,2,2019,98.6,97439.1,0,large,1,0
85,DATA SCIENTIST,"ENTELO, INC.",SAN FRANCISCO,94105,2,2019,98.6,97439.1,0,small,1,0
86,DATA SCIENTIST,"FEEDZAI, INC.",NEW YORK,10004,2,2019,100.0,114317.0,0,large,0,0
87,DATA SCIENTIST,"SQUARE, INC.",SAN FRANCISCO,94103,3,2019,98.6,131445.2,0,medium,1,0
88,VP/DATA SCIENCE,"DIGITAS, INC.",NEW YORK,10014,2,2019,100.0,114317.0,0,medium,0,0
89,DATA SCIENTIST,"ENTELO, INC.",SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,small,1,0
90,DATA SCIENTIST,PROJECT APPLECART LLC,NEW YORK,10018,1,2019,100.0,92394.0,0,medium,0,0
91,DATA SCIENTIST,"MELTWATER NEWS US1, INC.",SAN FRANCISCO,94014,2,2019,98.6,97439.1,0,small,1,0
92,DATA SCIENCE R & D ENGINEER,"SLALOM, LLC",SAN FRANCISCO,94111,2,2019,98.6,97439.1,1,medium,1,0
93,SR. DATA SCIENTIST,AETNA RESOURCES LLC,NEW YORK,10013,2,2019,100.0,114317.0,0,medium,0,0
94,DATA SCIENTIST,"SPOTIFY USA, INC.",NEW YORK,10007,2,2019,100.0,114317.0,0,small,0,0
95,DATA SCIENTIST,"CHEGG, INC.",SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,small,1,0
96,DATA SCIENTIST,"CONVERSION LOGIC, INC.",LOS ANGELES,90025,1,2019,73.9,106308.5,0,large,0,1
97,SENIOR DATA SCIENTIST,"SPOTIFY USA, INC.",NEW YORK,10007,2,2019,100.0,114317.0,0,small,0,0
98,DATA SCIENTIST,"SPOTIFY USA, INC.",NEW YORK,10007,2,2019,100.0,114317.0,0,small,0,0
99,"DATA SCIENTIST, PRODUCT","SPOTIFY USA, INC.",NEW YORK,10007,3,2019,100.0,136219.0,0,small,0,0
100,STRATEGIC FINANCE DATA ANALYST,"DROPBOX, INC.",SAN FRANCISCO,94107,2,2019,98.6,120137.9,0,medium,1,0
101,LEAD DATA SCIENTIST,ICUEMOTION LLC,SAN FRANCISCO,94103,3,2019,98.6,131445.2,0,medium,1,0
102,"ANALYST, DATA SCIENTIST",MASTERCARD INTERNATIONAL INCORPORATED,SAN FRANCISCO,94105,2,2019,98.6,97439.1,0,large,1,0
103,DATA SCIENTIST,"AUGMENTED REALITY CONCEPTS, INC.",NEW YORK,10001,1,2019,100.0,92394.0,0,medium,0,0
104,DATA ANALYST,WE WORK MANAGEMENT LLC,NEW YORK,10011,1,2019,100.0,92394.0,0,medium,0,0
105,DATA SCIENTIST,"NARVAR, INC.",SAN FRANCISCO,94105,1,2019,98.6,63434.1,0,large,1,0
106,DATA SCIENTIST,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,94111,2,2019,98.6,97439.1,0,medium,1,0
107,DATA SCIENTIST,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,94111,3,2019,98.6,131445.2,0,medium,1,0
108,SENIOR DATA SCIENTIST,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,94111,3,2019,98.6,131445.2,0,medium,1,0
109,DATA SCIENTIST,"KING STREET CAPITAL MANAGEMENT, L.P.",NEW YORK,10022,4,2019,100.0,158142.0,0,medium,0,0
110,DATA ENGINEER,WE WORK MANAGEMENT LLC,NEW YORK,10011,1,2019,100.0,92394.0,1,medium,0,0
111,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
112,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
113,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
114,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,1,2019,100.0,92394.0,0,medium,0,0
115,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
116,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
117,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
118,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
119,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
120,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
121,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
122,"DATA ENGINEER, DEPLOYMENTS","KOMODO HEALTH, INC.",SAN FRANCISCO,94107,1,2019,98.6,63434.1,1,medium,1,0
123,DATA SCIENTIST,"GLOBANT, LLC",SAN FRANCISCO,94103,2,2019,98.6,97439.1,0,large,1,0
124,DATA ENGINEER II,"7PARK DATA, INC.",NEW YORK,10016,2,2019,100.0,114317.0,1,medium,0,0
125,DATA SCIENTIST,"THE ULTIMATE SOFTWARE GROUP, INC.",SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,large,1,0
126,SENIOR RISK DATA ANALYST,CONTEXTLOGIC INC.,SAN FRANCISCO,94104,3,2019,98.6,131445.2,0,medium,1,0
127,DATA ENGINEER,MANHATTAN ENGINEERING INCORPORATED,SAN FRANCISCO,94108,2,2019,98.6,97439.1,1,large,1,0
128,SENIOR DATA ANALYST (15-1199.08),SEASONED LLC,SAN FRANCISCO,94108,3,2019,98.6,131445.2,0,large,1,0
129,LEAD DATA SCIENTIST,ICUEMOTION LLC,SAN FRANCISCO,94103,3,2019,98.6,131445.2,0,medium,1,0
130,DATA ENGINEER,"7PARK DATA, INC.",NEW YORK,10016,1,2019,100.0,92394.0,1,medium,0,0
131,DATA ANALYST,AFTERSHOCK LA STUDIOS INC.,SAN FRANCISCO,94111,1,2019,98.6,63434.1,0,small,1,0
132,DATA SCIENTIST,"SPOTIFY USA, INC.",NEW YORK,10007,2,2019,100.0,114317.0,0,small,0,0
133,APPLIED DATA SCIENTIST,TRANSATLANTIC REINSURANCE COMPANY,NEW YORK,10006,1,2019,100.0,92394.0,0,small,0,0
134,APPLIED DATA SCIENTIST,TRANSATLANTIC REINSURANCE COMPANY,NEW YORK,10006,1,2019,100.0,92394.0,0,small,0,0
135,DATA SCIENTIST - MTS,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,small,1,0
136,"ANALYST, DATA SCIENTIST",MASTERCARD INTERNATIONAL INCORPORATED,SAN FRANCISCO,94105,1,2019,98.6,63434.1,0,large,1,0
137,SENIOR RISK DATA ANALYST,CONTEXTLOGIC INC.,SAN FRANCISCO,94104,3,2019,98.6,131445.2,0,medium,1,0
138,CYBERSECURITY SOFTWARE AND DATA ANALYST,ABNORMAL SECURITY CORPORATION,SAN FRANCISCO,94107,1,2019,98.6,63434.1,0,large,1,0
139,DATA SCIENTIST,"ZYPMEDIA, INC.",SAN FRANCISCO,94111,2,2019,98.6,97439.1,0,large,1,0
140,SENIOR DATA SCIENTIST,"RALLY HEALTH, INC.",SAN FRANCISCO,94107,2,2019,98.6,97439.1,0,large,1,0
141,DATA SCIENTIST,JPMORGAN CHASE & CO.,NEW YORK,10179,3,2019,100.0,136219.0,0,medium,0,0
142,DATA SCIENTIST,"LATCHABLE, INC.",NEW YORK,10001,2,2019,100.0,114317.0,0,small,0,0
143,DATA ENGINEER,"DROPBOX, INC.",SAN FRANCISCO,94107,4,2019,98.6,165450.3,1,medium,1,0
144,PRINCIPAL DATA SCIENTIST - EXPERIMENTATION PLATFORM,"ATLASSIAN, INC.",SAN FRANCISCO,94104,3,2019,98.6,131445.2,0,large,1,0
145,SENIOR DATA ENGINEER,"METROMILE, INC.",SAN FRANCISCO,94107,3,2019,98.6,131445.2,1,large,1,0
146,DATA SCIENTIST,SOCURE INC.,NEW YORK,10001,2,2019,100.0,114317.0,0,small,0,0
147,SENIOR DATA SCIENTIST,"PRIMER TECHNOLOGIES, INC.",SAN FRANCISCO,94111,3,2019,98.6,131445.2,0,medium,1,0
148,DATA SCIENTIST 2,"STUBHUB, INC.",SAN FRANCISCO,94105,3,2019,98.6,131445.2,0,medium,1,0
149,DATA SCIENTIST,"SPOTIFY USA, INC.",NEW YORK,10007,2,2019,100.0,114317.0,0,small,0,0
150,SENIOR DATA SCIENTIST,"LEANPLUM, INC.",SAN FRANCISCO,94103,3,2019,98.6,131445.2,0,small,1,0
151,LEAD DATA SCIENTIST II,NISUM TECHNOLOGIES INC.,SAN FRANCISCO,94133,3,2019,98.6,131445.2,0,large,1,0
152,DATA SCIENTIST,SIMPLEBET INC.,NEW YORK,10119,2,2019,100.0,114317.0,0,medium,0,0
153,SENIOR DATA SCIENTIST,DEEP LABS INC.,NEW YORK,100001,2,2019,100.0,114317.0,0,small,0,0
154,DATA SCIENTIST,STANDARD & POOR'S FINANCIAL SERVICES LLC,NEW YORK,10041,2,2019,100.0,114317.0,0,medium,0,0
155,DATA SCIENTIST I,"AMAZON.COM SERVICES, INC.",NEW YORK,10001,1,2019,100.0,92394.0,0,large,0,0
156,DATA SCIENTIST,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,4,2019,98.6,176610.5,0,small,1,0
157,SENIOR DATA SCIENTIST,"SAILTHRU, INC.",NEW YORK,10007,2,2019,100.0,111904.0,0,small,0,0
158,DATA SCIENTIST,VOXELCLOUD INC,LOS ANGELES,90024,3,2019,73.9,168793.0,0,large,0,1
159,DATA ENGINEER,MUNICH AMERICAN REASSURANCE COMPANY,NEW YORK,10022,1,2019,100.0,89586.0,1,large,0,0
160,DATA ENGINEER,"METROMILE, INC.",SAN FRANCISCO,94107,2,2019,98.6,108703.9,1,large,1,0
161,SENIOR DATA ENGINEER,"METROMILE, INC.",SAN FRANCISCO,94107,3,2019,98.6,142667.3,1,large,1,0
162,DATA ENGINEER,"EYEVIEW, INC.",NEW YORK,11226,2,2019,100.0,111904.0,1,large,0,0
163,DATA SCIENCE ENGINEER,"DOORDASH, INC.",SAN FRANCISCO,94103,3,2019,98.6,142667.3,1,small,1,0
164,DATA SCIENTIST,"DOORDASH, INC.",SAN FRANCISCO,94103,2,2019,98.6,108703.9,0,small,1,0
165,SENIOR DATA SPECIALIST,SOCURE INC.,NEW YORK,10001,2,2019,100.0,111904.0,0,small,0,0
166,DATA SCIENTIST I,"AMAZON WEB SERVICES, INC.",NEW YORK,10001,1,2019,100.0,89586.0,0,large,0,0
167,DATA ANALYST,"WORLD EDUCATION SERVICES, INC.",NEW YORK,10004,1,2019,100.0,72509.0,0,medium,0,0
168,DATA ANALYST,"RALLY HEALTH, INC.",SAN FRANCISCO,94107,2,2019,98.6,104359.0,0,large,1,0
169,SENIOR DATA ANALYST,"RANDSTAD TECHNOLOGIES, LLC",SAN FRANCISCO,94104,2,2019,98.6,104359.0,0,medium,1,0
170,STRATEGIST - DATA SCIENTIST,"MOODY'S ANALYTICS, INC.",NEW YORK,10007,2,2019,100.0,93642.0,0,large,0,0
171,SENIOR DATA GOVERNANCE ANALYST,SPLUNK INC.,SAN FRANCISCO,94107,4,2019,98.6,143870.2,0,small,1,0
172,SOFTWARE ENGINEER - EQ ANALYTICS DATA PLATFORM,BARCLAYS SERVICES CORP.,NEW YORK,10019,1,2019,100.0,72509.0,1,large,0,0
173,DATA ANALYST,"RANDSTAD TECHNOLOGIES, LLC",SAN FRANCISCO,94158,2,2019,98.6,104359.0,0,medium,1,0
174,DATA ENGINEER,"DINEINFRESH, INC.",NEW YORK,10011,3,2019,100.0,114754.0,1,medium,0,0
175,MANAGING CONSULTANT DATA ANALYTICS,IBM CORPORATION,SAN FRANCISCO,94105,4,2019,98.6,143870.2,0,large,1,0
176,DATA ANALYST,ISITE TECHNOLOGIES INC,NEW YORK,10171,2,2019,100.0,93642.0,0,small,0,0
177,"SENIOR MANAGER, DATA AND REPORTING, INTERNAL AUDIT","AIG EMPLOYEE SERVICES, INC.",NEW YORK,10005,2,2019,100.0,93642.0,0,medium,0,0
178,DATA ANALYST,ISITE TECHNOLOGIES INC,NEW YORK,10171,2,2019,100.0,93642.0,0,small,0,0
179,DATA ANALYST,TRENMOR LLC,SAN FRANCISCO,94104,2,2019,98.6,102818.5,0,small,1,0
180,SENIOR DATA ANALYST,"RANDSTAD TECHNOLOGIES, LLC",SAN FRANCISCO,94101,2,2019,98.6,102818.5,0,medium,1,0
181,"SENIOR PRODUCT MANAGER, SUPPORT DATA PLATFORM & TICKETING","ZENDESK, INC.",SAN FRANCISCO,94103,3,2019,98.6,120011.2,0,large,1,0
182,DATA ENGINEER,CONTEXTLOGIC INC.,SAN FRANCISCO,94104,4,2019,98.6,138870.2,1,medium,1,0
183,DATA SECURITY GOVERNANCE SPECIALIST,"SQUARE, INC.",SAN FRANCISCO,94103,4,2019,98.6,138870.2,0,medium,1,0
184,DATABASE PROGRAMMER AND DEVELOPER,JEWELEX NEW YORK LTD,NEW YORK,10017,2,2019,100.0,72530.0,0,large,0,0
185,SENIOR DATA ENGINEER,"SPECTRUM LABS, INC.",SAN FRANCISCO,94103,2,2019,98.6,122796.1,1,large,1,0
186,DATA SCIENCE ENGINEER II,"SOJERN, INC.",SAN FRANCISCO,94111,2,2019,98.6,122796.1,1,small,1,0
187,DATA VISUALIZATION ENGINEER,"DOUBLEVERIFY, INC.",NEW YORK,10013,2,2019,100.0,96366.0,1,small,0,0
188,DATA VISUALIZATION ENGINEER,"DOUBLEVERIFY, INC.",NEW YORK,10013,2,2019,100.0,96366.0,1,small,0,0
189,SENIOR BUSINESS INTELLIGENCE & DATA ANALYTICS ENGINEER,"CORE ITS, LLC",NEW YORK,10038,2,2019,100.0,96366.0,1,small,0,0
190,SENIOR BUSINESS INTELLIGENCE & DATA ANALYTICS ENGINEER,"CORE ITS, LLC",NEW YORK,10038,2,2019,100.0,96366.0,1,small,0,0
191,DATA SCIENTIST - MTS,"SALESFORCE.COM, INC.",SAN FRANCISCO,94105,2,2019,98.6,122796.1,0,small,1,0
192,DATA SCIENCE ENGINEER,SONY INTERACTIVE ENTERTAINMENT LLC,SAN FRANCISCO,94107,2,2019,98.6,120813.4,1,small,1,0
193,SENIOR ETL DATA INTEGRATION DEVELOPER,LOCAL INITIATIVE HEALTH AUTHORITY FOR LOS ANGELES COUNTY,LOS ANGELES,90017,3,2019,73.9,150581.9,0,medium,0,1
194,DATA SOFTWARE DEVELOPMENT / ENGINEER,STANDARD & POOR'S FINANCIAL SERVICES LLC,NEW YORK,10041,3,2019,100.0,117624.0,1,medium,0,0
195,SOFTWARE ENGINEER: DATA/SYSTEMS,MULBERRY MANAGEMENT CORPORATION,NEW YORK,10012,3,2019,100.0,117624.0,1,medium,0,0
196,SENIOR DATA ENGINEER,"SPECTRUM LABS, INC.",SAN FRANCISCO,94103,2,2019,98.6,122796.1,1,large,1,0
